Art (image+title): love,Art (image+title): sadness,Art (image+title): anger,Art (image+title): happiness,Art (image+title): disgust,Art (image+title): optimism,Clusters,id,Style,Category,Artist,Title,Year,Ave. art rating
0.39468771303298616,0.14482938489445712,0.013266813883461721,0.8291758677163575,0.0,0.36815408526606275,5,58c6237dedc2c9c7dc0de1ae,Modern Art,Impressionism,Charles Courtney Curran,In the Luxembourg Garden,1889,2.33
0.4472135954999579,0.4472135954999579,0.0,0.4472135954999579,0.4472135954999579,0.4472135954999579,8,577280dfedc2cb3880f28e76,Modern Art,Neo-Expressionism,Keith Haring,The Marriage of Heaven and Hell,1984,0.7
0.0,0.0,0.0,0.8574929257125443,0.0,0.5144957554275266,3,57727f2dedc2cb3880ed5fa9,Modern Art,Post-Impressionism,Jozsef Rippl-Ronai,Uncle Piacsek in front of the Black Sideboard,1906,1.6
0.0,0.8660254037844387,0.0,0.28867513459481287,0.28867513459481287,0.28867513459481287,2,58d1240cedc2c94f900fc610,Modern Art,Cubism,Vadym Meller,Monk. For the Play &#39;Mazeppa&#39;,1920,0.82
0.15617376188860607,0.46852128566581824,0.46852128566581824,0.31234752377721214,0.46852128566581824,0.46852128566581824,6,57727de7edc2cb3880e91f26,Post Renaissance Art,Romanticism,David Wilkie,The Defence of Sarago&#231;a,1828,1.69
0.2553071812971724,0.22093890689178378,0.0,0.8788458740806511,0.07364630229726125,0.32895348359443366,5,57728297edc2cb3880f81f5b,Modern Art,Expressionism,Lyonel Feininger,"In a Village Near Paris (Street in Paris, Pink Sky)",1909,1.24
0.0,0.9486832980505138,0.0,0.31622776601683794,0.0,0.0,2,5772797dedc2cb3880db5504,Post Renaissance Art,Realism,Nikolai Ge,Last Supper,1863,0.9
0.12216944435630524,0.12216944435630524,0.0,0.8551861104941365,0.0,0.48867777742522095,5,57726e48edc2cb3880b69b14,Post Renaissance Art,Realism,Charles-Francois Daubigny,Spring,1857,2.2
0.40661367085057704,0.81812630159092,0.0,0.0,0.40661367085057704,0.0,2,57728255edc2cb3880f7644a,Contemporary Art,Minimalism,Robert Smithson,Mirror and Crushed Shells,1969,0.17
0.0,0.4472135954999579,0.0,0.0,0.8944271909999159,0.0,0,5772843bedc2cb3880fd334d,Contemporary Art,Minimalism,Richard Serra,One Ton Prop (House of Cards),1969,-1.7
0.262961578594119,0.0,0.0,0.9189206812409872,0.1314807892970595,0.262961578594119,5,577285b4edc2cb388001c741,Modern Art,Pop Art,Patrick Procktor,"Back Bay in Bombay from the &#39;India, Mother&#39; suite of 7 aquatints",1970,2.18
0.0,0.8728715609439694,0.0,0.4364357804719847,0.21821789023599236,0.0,2,5772898cedc2cb38800df3fd,Post Renaissance Art,Rococo,George Romney,Admiral John Forbes (1714–1796),1778,1.8
0.0,0.0,0.0,0.4472135954999579,0.8944271909999159,0.0,4,5772849eedc2cb3880fe72ab,Modern Art,Color Field Painting,Ron Gorchov,Untitled,1968,0.0
0.408248290463863,0.408248290463863,0.0,0.0,0.0,0.816496580927726,9,577282b3edc2cb3880f89e19,Modern Art,Color Field Painting,Louis Cane,Toile d&#233;coup&#233;e,1976,0.3
0.7071067811865475,0.0,0.0,0.7071067811865475,0.0,0.0,1,577284a7edc2cb3880fe813a,Modern Art,Cubism,Francis Picabia,Dances at the Spring,1912,0.58
0.9438205109579281,0.13436895782076852,0.0,0.2703568187478113,0.13436895782076852,0.0,1,57727ca4edc2cb3880e54008,Renaissance Art,Early Renaissance,Domenico Veneziano,Madonna and Child,1435,0.58
0.0,0.0,0.0,0.9486832980505138,0.0,0.31622776601683794,5,57726ff3edc2cb3880bc56a7,Post Renaissance Art,Neoclassicism,Jacques-Louis David,"The Consecration of the Emperor Napoleon and the Coronation of the Empress Josephine by Pope Pius VII, 2nd December 1804",1807,1.2
0.0,1.0,0.0,0.0,0.0,0.0,2,577288deedc2cb38800bdf0f,Modern Art,Art Informel,Karl Otto Gotz,Untitled,1958,0.8
0.0,0.9922568645713782,0.0,0.0,0.12420271619806797,0.0,2,57726e25edc2cb3880b60a8b,Modern Art,Expressionism,Edvard Munch,The Sick Child (later),1907,0.91
0.0,0.5773502691896257,0.0,0.0,0.5773502691896257,0.5773502691896257,0,577288ddedc2cb38800bde1d,Contemporary Art,Minimalism,Herbert Zangs,Peinture-Relief,1955,-0.8
0.0,0.9045340337332909,0.3015113445777636,0.0,0.3015113445777636,0.0,2,577287d9edc2cb38800895a7,Modern Art,Neo-Expressionism,Joan Brown,Self Portrait with Cloud &amp; Cigarette,1964,0.09
0.07877058150322784,0.04726234890193671,0.04726234890193671,0.9067369159704894,0.04726234890193671,0.406106109083308,5,57727dd9edc2cb3880e90d51,Post Renaissance Art,Baroque,Adriaen van de Venne,Princes Maurits and Frederik Hendrik of Orange at the Valkenburg horse fair,1618,1.4
0.0,0.38155974378528296,0.0,0.8886542950497066,0.0,0.25437316252352193,5,57726f83edc2cb3880bb117d,Post Renaissance Art,Realism,Honore Daumier,Don Quixote and Sancho Pansa Having a Rest under a Tree,1855,0.92
